Number,State,State_Code,Organization_Name,Type,Email,Phone,Website,Address,City,Zip_Code,Description
1,Alaska,AK,Alaska SPCA,Spca,customerhelp@alaskaspca.org,(907) 562-2999,https://www.alaskaspca.org,"3710 Woodland Drive, Suite 1200",Anchorage,99517,"Independent local nonprofit promoting animal welfare since 1955. Provides affordable veterinary services, adoption center, pet food bank, and mobile surgery unit."
2,Alaska,AK,Anchorage Animal Care and Control,Animal Control,animalcontrol@muni.org,(907) 343-8118,https://www.muni.org/Departments/health/Admin/animal_control,4711 Elmore Road,Anchorage,99507,"Open-admission municipal shelter serving the entire Municipality of Anchorage. Promotes public health, safety, responsible pet ownership, and humane care of animals."
3,Alaska,AK,Juneau Animal Rescue,Shelter,jar@prior2prior.com,(907) 789-0260,https://www.juneauanimalrescue.org,7705 Glacier Highway,Juneau,99801,"Private nonprofit shelter founded in 1963, serving domestic animals in Juneau for over 60 years. The largest shelter in Southeast Alaska, operating as an open-admission facility."
4,Alaska,AK,Fairbanks North Star Borough Animal Control,Animal Control,animalcontrol@fnsb.gov,(907) 459-1451,https://www.fnsb.gov/160/Animal-Control,2408 Davis Road,Fairbanks,99701,"Municipal animal shelter serving Fairbanks North Star Borough, providing animal control services and pet adoptions."
5,Alaska,AK,Mat-Su Borough Animal Care and Regulation,Animal Control,animalcare@matsugov.us,(907) 746-5500,https://animalcare.matsugov.us,9470 E Chanlyut Circle,Palmer,99645,Dedicated to serving the Alaskan community and animals in need. Maintains shelter and enforcement services for Mat-Su Borough including Palmer and Wasilla.
6,Alaska,AK,Humane Society of Kodiak,Humane Society,info@kodiakanimalshelter.org,(907) 486-4717,https://www.kodiakanimalshelter.org,P.O. Box 8783,Kodiak,99615,"Operating the only animal shelter in the Kodiak Archipelago since 1995. A no-kill shelter for friendly adoptable pets, committed to preventing animal cruelty and reducing homeless pets."
7,Alaska,AK,Ketchikan Humane Society,Humane Society,info@ketchikanhumanesociety.org,,http://www.ketchikanhumanesociety.org,228 Martin Street,Ketchikan,99901,501(c)(3) formed in 2001 to help abused and abandoned animals in Southern Southeast Alaska find permanent homes and reduce unwanted animals through low-cost spay/neuter services.
8,Alaska,AK,Kenai Animal Shelter,Shelter,animalshelter@kenai.city,(907) 283-7353,https://www.kenai.city/animal-control,510 North Willow Street,Kenai,99611,"City shelter promoting community safety through public education, spaying/neutering, and humane operations. All animals are spayed/neutered and microchipped before adoption."
9,Alaska,AK,Kenai Peninsula Animal Lovers Rescue,Rescue,info@kpalrescue.org,,https://kpalrescue.org,,Soldotna,99669,"Founded in 2019, provides safe environment for stray, surrendered, abused, or abandoned animals through foster network with goal of finding forever homes."
10,Alaska,AK,Friends of Sitka Animal Shelter,Rescue,info@sitkaanimalfriends.org,,https://www.sitkaanimalfriends.org,,Sitka,99835,"Dedicated to providing quality care and shelter to animals in need while offering services, resources, and education to community members."
