Name,Location,Contact Information,Description
Brevard Humane Society,"Cocoa, FL",(321) 636-3343 x201,"Brevard Humane Society in Cocoa, FL is a nonprofit animal shelter."
Suntree-Viera Pet Rescue,"Melbourne, FL","svprhs@gmail.com","Suntree-Viera Pet Rescue in Melbourne, FL is a rescue organization for cats and dogs."
Passionate Pet Rescue,"Palm Bay, FL","passionatepetrescue@yahoo.com","Passionate Pet Rescue in Palm Bay, FL is a rescue organization for cats and dogs."
Brevard County Sheriff’s Office Animal Services,"Melbourne, FL",(321) 633-2024,"Brevard County Sheriff’s Office Animal Services in Melbourne, FL is the county-operated animal shelter."
Sparticus Legacy Inc.,"Palm Bay, FL",(321) 591-2662,"Sparticus Legacy Inc. in Palm Bay, FL is a dog rescue organization."
South Brevard German Shepard Rescue,"Palm Bay, FL",(321) 724-8873,"South Brevard German Shepard Rescue in Palm Bay, FL is a dog rescue organization."
Tiny Bug Dog Rescue,"Palm Bay, FL",(321) 848-8275,"Tiny Bug Dog Rescue in Palm Bay, FL is a dog rescue organization."
H.O.P.E. For Brevard,"Satellite Beach, FL",(321) 271-4041,"H.O.P.E. For Brevard in Satellite Beach, FL is a cat rescue organization."
Space Coast Feline Network,"Cocoa, FL",(321) 631-7729,"Space Coast Feline Network in Cocoa, FL is a cat rescue organization."
Purrfect Friends,"Melbourne, FL",(321) 480-6151,"Purrfect Friends in Melbourne, FL is a cat rescue organization."
Purrs & Whiskers Shelter,"Melbourne, FL",(321) 477-3086,"Purrs & Whiskers Shelter in Melbourne, FL is a cat rescue organization."
The Last Chance Sanctuary,"Melbourne, FL","info@thelastchancesanctuary.com","The Last Chance Sanctuary in Melbourne, FL is a cat rescue organization (focuses on trap-neuter-return and cat rehoming)."
Halifax Humane Society,"Daytona Beach, FL",(386) 274-4703,"Halifax Humane Society in Daytona Beach, FL is an open-admission humane society protecting animals from cruelty and neglect, and offering adoptions and spay/neuter services:contentReference[oaicite:3]{index=3}."
Animal Rescue Konsortium,"Crescent City, FL",(386) 559-4610,"Animal Rescue Konsortium in Crescent City, FL is a rescue organization for cats, dogs, and exotic pets."
West Volusia Humane Society,"DeLand, FL",(386) 734-2450,"West Volusia Humane Society in DeLand, FL is a nonprofit shelter and adoption center for cats and dogs."
Good Karma Pet Rescue,"Fort Lauderdale, FL",(754) 200-1738,"Good Karma Pet Rescue in Fort Lauderdale, FL is a volunteer-run rescue organization for cats, dogs, and small mammals."
Saving Sage Animal Rescue,"Fort Lauderdale, FL","(954) 530-1508 or (954) 530-1425","Saving Sage Animal Rescue in Fort Lauderdale, FL is a rescue organization for cats and dogs."
Abandoned Pet Rescue,"Fort Lauderdale, FL",(954) 728-9010,"Abandoned Pet Rescue in Fort Lauderdale, FL is a no-kill rescue shelter for cats and dogs, one of the largest in Broward County."
Animal Aid, Inc.,"Oakland Park, FL",(754) 223-5378,"Animal Aid, Inc. in Oakland Park, FL is a rescue organization for cats and dogs."
Grateful Paws Dog & Cat Rescue,"Eustis, FL",(954) 579-3753,"Grateful Paws Dog & Cat Rescue in Eustis, FL is a rescue organization for cats and dogs."
Florida Humane Society,"Pompano Beach, FL",(954) 974-6152,"Florida Humane Society in Pompano Beach, FL is a nonprofit no-kill shelter for cats and dogs."
Get A Life Pet Rescue,"Plantation, FL",(954) 629-2445,"Get A Life Pet Rescue in Plantation, FL is a rescue organization specializing in saving dogs (primarily small breeds) and finding them homes."
Gentle Giants Great Dane Rescue,"South Florida, FL",(754) 610-3647,"Gentle Giants Great Dane Rescue (South Florida) is a dog rescue organization focusing on Great Danes and other giant breeds."
Cat’s Exclusive, Inc.,"Margate, FL",(954) 975-8349,"Cat’s Exclusive, Inc. in Margate, FL is a rescue organization and adoption center dedicated to cats."
Fairy Cat Mother,"Fort Lauderdale, FL",(954) 462-9393,"Fairy Cat Mother in Fort Lauderdale, FL is a small rescue organization for cats (focusing on trap-neuter-return and adoptions)."
Animal Welfare League of Charlotte County,"Port Charlotte, FL",(941) 625-6720,"Animal Welfare League of Charlotte County in Port Charlotte, FL is a no-kill nonprofit animal shelter providing a temporary home for homeless pets in the county."
Gulf Coast Humane Society,"Fort Myers, FL",(239) 332-0364,"Gulf Coast Humane Society in Fort Myers, FL is a non-profit shelter caring for homeless cats and dogs and adopting them into new homes."
Caloosa Humane Society,"LaBelle, FL",(863) 675-0997,"Caloosa Humane Society in LaBelle, FL is a nonprofit shelter and low-cost veterinary clinic for cats and dogs in Hendry County."
Animal Refuge Center (ARC),"Fort Myers, FL",(239) 731-3535,"The Animal Refuge Center (ARC) in Fort Myers, FL is a not-for-profit animal welfare society; it is a no-kill shelter dedicated to caring for all homeless animals brought to its sanctuary:contentReference[oaicite:4]{index=4}."
Forever Pets, Inc.,"Fort Myers, FL",(239) 839-7011,"Forever Pets, Inc. in Fort Myers, FL is a rescue organization for cats and dogs."
Rescuing Animals in Need (RAIN),"Fort Myers, FL",(407) 414-2866,"Rescuing Animals in Need (RAIN) in Fort Myers, FL is a rescue organization for cats and dogs."
Helping Paws Animal Sanctuary,"St. James City, FL",(239) 283-9100,"Helping Paws Animal Sanctuary in St. James City, FL is a rescue organization focusing on cats (a cage-free cat sanctuary and adoption center)."
Beyond Nine Cat Rescue,"Pompano Beach, FL",(833) 239-6639,"Beyond Nine Cat Rescue in Pompano Beach, FL is a volunteer-run, no-kill cat rescue organization."
Puffy Paws Kitty Haven,"Englewood, FL",(941) 623-8904,"Puffy Paws Kitty Haven in Englewood, FL is a specialized cat hospice and rescue, caring for felines with special needs."
Humane Society of North Central Florida,"Gainesville, FL",(352) 373-5855,"The Humane Society of North Central Florida in Gainesville, FL is a merger of local rescues that operates a no-kill shelter and adoption center for cats, dogs, and small pets."
