name,ein,street,city,state,zip
ANIMAL REFUGE LEAGUE OF GREATER PORTLAND,010212541,PO BOX 336,WESTBROOK,ME,04098-0336
MAINE STATE SOCIETY FOR THE PROTECTION OF ANIMALS,010212545,PO BOX 10,SOUTH WINDHAM,ME,04082-0010
BANGOR HUMANE SOCIETY,010215910,693 MOUNT HOPE AVE,BANGOR,ME,04401-5606
KENNEBEC VALLEY HUMANE SOCIETY,010266549,168 LEIGHTON RD,AUGUSTA,ME,04330-7707
STANWOOD WILDLIFE SANCTUARY,010277845,PO BOX 485,ELLSWORTH,ME,04605-0485
FRANKLIN COUNTY ANIMAL SHELTER,010344891,550 INDUSTRY RD,FARMINGTON,ME,04938-5633
SOMERSET HUMANE SOCIETY,010357595,PO BOX 453,SKOWHEGAN,ME,04976-0453
HIRUNDO WILDLIFE TRUST,010359948,PO BOX 266,ORONO,ME,04473-0266
PROUTS NECK AUDUBON SOCIETY,010363468,499 BLACK POINT RD,SCARBOROUGH,ME,04074-8616
MAINE FEDERATION OF HUMANE SOCIETIES INC,010368319,PO BOX 45,AUBURN,ME,04212-0045
PROTECTORS OF ANIMAL LIFE SOCIETY,010369020,188 CASE RD,WINTHROP,ME,04364-3054
PENOBSCOT VALLEY KENNEL CLUB INC,010369491,6 FALLS CT,ELLSWORTH,ME,04605-3585
WALDO COUNTY HUMANE SOCIETY,010373772,PO BOX 479,BELFAST,ME,04915-0479
THE ARK POPE MEMORIAL ANIMAL SHELTER,010401717,PO BOX 276,CHERRYFIELD,ME,04622-0276
KISMA PRESERVE,010412171,PO BOX 84,MOUNT DESERT,ME,04660-0084
HOULTON HUMANE SOCIETY,010427103,263 CALLAGHAN RD,HOULTON,ME,04730-3753
ANOTHER CHANCE ANIMAL RESCUE,010442853,PO BOX 552,NORTH BERWICK,ME,03906-0552
POPE MEMORIAL HUMANE SOCIETY OF KNOX COUNTY,010445336,PO BOX 1294,ROCKLAND,ME,04841-1294
DOWNEAST INSTITUTE FOR APPLIED MARINE RESEARCH AND EDUCATION INC,010452403,PO BOX 83,BEALS,ME,04611-0083
VOICE FOR ANIMALS INC,010456905,PO BOX 34,HARRISON,ME,04040-0034
HOUSEL-RYAN-SHELDON WILDLIFE SANCTUARY,010458230,MEADOW RD,SANDY POINT,ME,04972-0000
ANIMAL ORPHANAGE,010462882,PO BOX 565,ORONO,ME,04473-0565
FRIENDS OF THE MAINE WILDLIFE PARK,010464787,PO BOX 1231,GRAY,ME,04039-1231
EASTERN MAINE AGILITY CLUB INC,010468364,20 UNION ST,CAMDEN,ME,04843-2016
YANKEE CHAPTER OF NAVHDA,010469877,33 SIMPSONS POINT RD,BRUNSWICK,ME,04011-7905
RESPONSIBLE PET CARE OF OXFORD HILLS,010479848,PO BOX 82,NORWAY,ME,04268-0082
CHARLEYS STRAYS INC,010492851,23 HARRIS ST,WALTHAM,MA,02452-6104
MAINE WOLF COALITION INC,010492991,30 MEADOW WOOD DR,SOUTH CHINA,ME,04358-5035
PROJECT SHARE,010493230,236 BLACKS WOODS RD,CHERRYFIELD,ME,04622-4282
ACADIA WILDLIFE CENTER,010495974,PO BOX 207,MOUNT DESERT,ME,04660-0207
FRIENDS OF FERAL FELINES,010500759,PO BOX 8137,PORTLAND,ME,04104-8137
KELMSCOTT RARE BREEDS FOUNDATION,010501130,RR 2 BOX 365,LINCOLNVILLE,ME,04849-0000
A PAW IN THE DOOR INC,010502866,16 WINTER ST,BATH,ME,04530-2619
EASTERN MAINE CONSERVATION INITIATIVE,010502883,1 UNION ST STE 302,PORTLAND,ME,04101-4048
GULF OF MAINE RESEARCH INSTITUTE,010504905,350 COMMERCIAL ST,PORTLAND,ME,04101-4618
ROCKIN T EQUINE RESCUE,010510481,60 EDGECOMB RD,LISBON FALLS,ME,04252-9740
DUCK POND WILDLIFE CARE CENTER,010513442,1787 N BELFAST AVE,VASSALBORO,ME,04989-4408
