Comprehensive New Jersey Animal Adoption Directory
Organization Name	Type	County / Area	Contact Info	Description
A Helping Wing Parrot Rescue	Rescue (Birds)	Warren (Blairstown)	ahelpingwing.org	Volunteer-run rescue dedicated to the rescue and adoption of parrots and exotic birds.
A Pathway to Hope	Rescue	Passaic (Hawthorne)	apathwaytohope.org	Foster-based rescue focusing on special needs dogs, seniors, and local stray rehabilitation.
All Fur Love Animal Rescue	Rescue	Monmouth (Freehold)	allfurlove.org	Volunteer organization dedicated to helping cats and kittens, including TNR and adoption.
Almost Home Animal Shelter	Shelter	Camden (Pennsauken)	(856) 663-3058	Provides shelter and adoption services for stray and unwanted animals in Pennsauken.
Angel Pets Animal Welfare Society	Rescue	Middlesex (Colonia)	angelpets.org	Dedicated to rescuing animals from high-kill shelters and finding them permanent homes.
Animal Adoption Center	Shelter	Camden (Lindenwold)	(856) 435-9116	No-kill shelter offering dogs and cats for adoption; also provides low-cost veterinary services.
Animal Alliance of Cape May County	Rescue	Cape May	animalalliancecmc.org	Focuses on finding homes for Cape May County’s homeless pets and providing low-cost spay/neuter.
Animal Alliance NJ	Rescue	Hunterdon (Lambertville)	(609) 818-1952	Rescues adoptable pets from shelters that euthanize for space; runs a low-cost spay/neuter clinic.
Animal Friends for Education & Welfare	Rescue	Mercer (Hightstown)	afewpets.org	Foster-based group serving Mercer County; focuses on adoptions and humane education.
Animal Life Savers	Rescue	Bergen (Palisades Park)	(201) 861-3411	Rescue group dedicated to saving abandoned and stray animals in the North Jersey area.
Animal Protection League of NJ	Rescue	Statewide	aplnj.org	Large advocacy group that also facilitates rescues and TNR projects across the state.
Animal Rescue Force (ARF)	Rescue	Middlesex (East Brunswick)	arfrescue.com	Volunteer group rescuing homeless dogs and cats; holds adoption events at local venues.
Animal Rescue R Us	Rescue	Bergen (Lodi)	(201) 214-6517	Foster-based organization rescuing dogs and cats and placing them in loving homes.
Animal Welfare Association (AWA)	Shelter	Camden (Voorhees)	(856) 424-2288	South Jersey's oldest private shelter; huge campus with adoption center and public vet clinic.
Associated Humane Societies (Newark)	Shelter	Essex (Newark)	(973) 824-7080	Large inner-city shelter handling animal control for Newark; high volume intake and adoption.
Associated Humane Societies (Popcorn Park)	Shelter/Sanctuary	Ocean (Forked River)	(609) 693-1900	Famous sanctuary for wildlife and farm animals, plus a full adoption center for dogs and cats.
Associated Humane Societies (Tinton Falls)	Shelter	Monmouth (Tinton Falls)	(732) 922-0100	Serves Monmouth County with animal control, intake, and adoption services.
Atlantic County Animal Shelter	Municipal	Atlantic (Pleasantville)	(609) 485-2345	The county-run facility for stray animals in Atlantic County; adoption by appointment.
