Number,State,State_Code,Organization_Name,Type,Email,Phone,Website,Address,City,Zip_Code,Description
TX001,Texas,TX,Dallas Animal Services,Municipal,,,"dallasanimalservices.org",,Dallas,,Municipal. The primary open-intake shelter for the City of Dallas. Handles all stray intake and animal control enforcement within city limits. High-volume facility.
TX002,Texas,TX,SPCA of Texas,Private Non-Profit,spca@spca.org,214-742-7722,"spca.org",,Dallas,,Private Non-Profit. Major regional agency handling cruelty investigations for multiple counties. Contracts to house animals for cities like Hutchins and Rockwall.
TX003,Texas,TX,Operation Kindness,Private Non-Profit,,972-418-7297,"operationkindness.org",,Carrollton,,Private Non-Profit. The largest and oldest no-kill shelter in North Texas. Provides extensive medical care adoption and food pantries.
TX004,Texas,TX,Fort Worth Animal Care & Control,Municipal,,,"fortworthtexas.gov",,Fort Worth,,Municipal. Operates multiple campuses (Chuck & Brenda Silcox Center North Animal Campus) to manage animal control for Fort Worth.
TX005,Texas,TX,Humane Society of North Texas,Private Non-Profit,,817-332-6341,"hsnt.org",,Fort Worth,,Private Non-Profit. Large agency advocating for animal protection providing vet care and conducting cruelty investigations.
TX006,Texas,TX,Collin County Animal Services,Municipal,,,"collincountytx.gov",,McKinney,,Municipal. Serves unincorporated Collin County and contract cities including Anna Celina Fairview Lavon Lucas Melissa Nevada Princeton Prosper and Weston.
TX007,Texas,TX,Arlington Animal Services,Municipal,,,"arlingtontx.gov",,Arlington,,Municipal. City shelter providing adoption sterilization and control services for Arlington residents.
TX008,Texas,TX,Richardson Animal Shelter,Municipal,,,"cor.net/animalshelter",,Richardson,,Municipal. Open facility known for its volunteer programs and community education.
TX009,Texas,TX,Grand Prairie Animal Services,Municipal,gpasinfo@gptx.org,972-237-8575,,,Grand Prairie,,Municipal. Operates the Prairie Paws Adoption Center. Handles animal complaints adoptions and fostering.
TX010,Texas,TX,Tri-City Animal Shelter,Municipal,,,"cedarhilltx.com",,Cedar Hill,,Municipal (Regional). A cooperative facility serving the cities of Cedar Hill DeSoto and Duncanville.
TX011,Texas,TX,Irving Animal Services,Municipal,,,"cityofirving.org",,Irving,,Municipal. City shelter managing animal control and adoptions for Irving.
TX012,Texas,TX,Garland Animal Services,Municipal,,,"garlandanimalservices.org",,Garland,,Municipal. Provides sheltering and control services for the City of Garland.
TX013,Texas,TX,Mesquite Animal Shelter,Municipal,,,"cityofmesquite.com",,Mesquite,,Municipal. City facility for stray intake and adoption services.
TX014,Texas,TX,Carrollton Animal Services,Municipal,,,"cityofcarrollton.com",,Carrollton,,Municipal. The citys animal control division distinct from Operation Kindness.
TX015,Texas,TX,Denton Animal Services,Municipal,,,"cityofdenton.com",,Denton,,Municipal. City shelter serving Denton. Handles local impoundments and adoptions.
TX016,Texas,TX,Lewisville Animal Shelter,Municipal,,,"cityoflewisville.com",,Lewisville,,Municipal. Provides animal services and sheltering for Lewisville residents.
TX017,Texas,TX,Plano Animal Services,Municipal,,,"plano.gov",,Plano,,Municipal. City shelter responsible for animal control and sheltering in Plano.
TX018,Texas,TX,North Richland Hills Animal Adoption Center,Municipal,,,"nrhtx.com",,North Richland Hills,,Municipal. Serves North Richland Hills. Known for modern facilities and adoption focus.
TX019,Texas,TX,Wylie Animal Services,Municipal,,972-442-8110,,,Wylie,,Municipal. DSHS-inspected facility serving the City of Wylie.
